64	620000	184000	26000	27000	300	100	100
32	640000	290000	45000	29000	1000	500	500
16	690000	320000	430000	280000	46000	2700	2800
8	550000	470000	600000	550000	189000	85000	10900
2	600000	210000	193000	570000	265000	120000	33000
0.25	830000	240000	131000	620000	155000	182000	35000
0.0625	820000	124000	71000	1150000	320000	290000	44000
0	980000	390000	210000	1710000	1160000	3200000	3240000
